Time_Index,biomass_north,biomass_pge,biomass_sce,coal_central,coal_south,ngcc_central,ngcc_iid,ngcc_ladwp,ngcc_ncnc,ngcc_north,ngcc_pge,ngcc_sce,ngcc_sdge,ngcc_south,nuclear_north,nuclear_pge,nuclear_south,peaker_central,peaker_iid,peaker_ladwp,peaker_ncnc,peaker_north,peaker_pge,peaker_sce,peaker_sdge,peaker_south,ng_ccs_central,ng_ccs_north,ng_ccs_pge,ng_ccs_sce,ng_ccs_sdge,ng_ccs_south,None
50,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
51,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
52,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
53,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
54,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
55,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
56,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
57,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
58,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
59,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
60,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
61,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
62,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
63,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
64,9,9,9,1.9,1.9,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,0.8,0.8,0.8,5.07,4.94,4.94,6.19,5.11,6.19,4.94,6.37,5.03,5.07,5.11,6.19,4.94,6.37,5.03,0
