Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9
,,,,,,,,160,3401.240704,298.1841746,2582.18388,1620.630199,18578.41341,9442.851261,8679.499701,1526.03501,6775.29818
,,,,,,,,161,3566.454611,326.3114698,2704.37138,1841.065017,19654.82634,9739.482641,9879.365215,1972.057291,8072.518871
,,,,,,,,162,3817.492257,362.4688381,3021.193496,2056.155254,20718.66165,10161.81297,10721.20048,2297.594032,8654.871636
,,,,,,,,163,3808.597976,367.7092286,3136.05329,2168.537901,20827.27802,11274.07561,11508.38849,2586.939798,8664.507185
,,,,,,,,164,3768.075747,363.3444471,3106.870453,2181.850877,20526.40113,11589.14862,11613.96097,2626.677545,8595.193814
,,,,,,,,165,3666.276651,354.0087393,3040.798037,2144.817732,19832.60139,11378.36061,11483.35431,2576.132125,8341.889738
,,,,,,,,166,3542.733896,337.0021777,2937.696243,2026.138728,18815.28447,10987.68024,11414.52762,2476.529871,8014.406712
,,,,,,,,167,3385.588112,316.9339761,2781.826696,1848.776174,17553.9,10506.5114,11273.24709,2375.73753,7737.431583
,,,,,,,,168,3238.324642,295.8902384,2597.435904,1691.56315,16476.13024,9891.725263,10856.56096,2268.829356,7536.978074
,,,,,,,,169,3185.943043,287.2195148,2462.014624,1579.193364,15991.49007,9512.343004,10569.64141,2206.149159,7419.575345
,,,,,,,,170,3135.537512,278.4216384,2374.003394,1485.687915,15756.62624,9133.435612,10306.19449,2176.76693,7388.789921
,,,,,,,,171,3106.87564,277.8837073,2334.863226,1460.643968,15928.53017,8672.229735,9924.949558,2061.789457,7516.929103
,,,,,,,,172,3120.712066,278.8763966,2328.899067,1505.999701,16382.53459,8428.50885,9724.950888,1984.267427,7842.489352
,,,,,,,,173,3216.580983,289.8530237,2399.471676,1578.977681,17324.24905,8514.865198,9848.278558,1982.407916,8460.8848
,,,,,,,,174,3371.750699,311.1581477,2599.106617,1750.259561,18965.65699,9082.95612,10272.67063,2079.714163,9252.841453
,,,,,,,,175,3516.04908,339.7476808,2809.191144,1960.59587,20866.91281,10208.80131,11077.58913,2265.740611,9909.447402
,,,,,,,,176,3509.017357,350.4762851,2920.797133,2120.257588,21917.22691,11575.8504,11781.43201,2561.110213,9258.401812
,,,,,,,,177,3383.844987,345.0483068,2863.163935,2101.06577,21910.86972,12510.63409,11346.11602,2103.970015,8461.684529
,,,,,,,,178,3310.801532,338.6946562,2759.807152,2075.336188,21990.89004,12587.37487,10858.00391,2088.182767,7729.386923
,,,,,,,,179,3195.626962,315.5388856,2717.549042,2094.293525,21573.2872,12397.77999,10319.81356,1694.509633,7138.041203
,,,,,,,,180,3125.087645,314.6463228,2654.811161,2077.431676,21216.56227,12284.0172,9769.265237,1718.609872,6672.471295
,,,,,,,,181,3141.061027,307.0066837,2637.392231,2054.921508,20924.84285,12122.76774,9510.97439,1583.761079,6353.81215
,,,,,,,,182,3135.49803,318.476165,2677.636034,2000.898885,20457.37724,11702.38378,9580.100545,1751.170887,6350.877821
,,,,,,,,183,3209.736799,328.6025139,2720.04379,1988.113244,20385.95551,11657.12489,10069.3433,1895.449358,6537.24008
,,,,,,,,184,3360.23877,340.8957458,2794.718851,2015.470341,20483.97787,11398.88931,10653.11502,2149.943975,6970.963907
,,,,,,,,185,3664.506876,355.1900137,2991.593227,2124.288285,21288.88726,11234.65972,11167.6845,2354.686888,8201.383643
,,,,,,,,186,3908.420017,391.4108088,3217.56774,2289.626024,22078.92647,11458.76549,11648.72023,2472.291165,8835.188268
,,,,,,,,187,3907.431983,394.6925476,3291.767283,2351.775339,21927.0869,12388.00907,12425.31343,2705.38379,8849.667347
,,,,,,,,188,3854.061363,387.8974025,3265.579325,2342.799766,21331.83102,12803.40986,12590.01717,2753.406148,8843.96911
,,,,,,,,189,3789.819407,375.2556223,3189.142976,2273.788173,20480.90997,12457.4119,12417.80219,2680.600425,8450.900609
,,,,,,,,190,3627.731478,355.3978462,3032.767392,2102.679434,19268.98683,11936.64153,12347.94765,2559.84281,8024.07182
,,,,,,,,191,3458.725336,331.6375265,2837.870896,1892.409413,17914.77221,11429.10099,12137.59334,2444.237997,7732.502746
,,,,,,,,192,3304.543654,309.3148809,2627.433915,1726.477062,16786.52077,10891.29991,11803.03671,2360.31142,7523.354086
,,,,,,,,193,3243.266787,297.9519088,2481.774719,1653.153791,16075.75705,10270.2897,11120.16601,2251.872574,7362.623303
,,,,,,,,194,3175.071707,287.3542469,2380.69806,1605.930125,15778.70668,9616.653412,10712.46372,2177.560647,7371.341369
,,,,,,,,195,3107.863675,285.6302545,2326.31276,1568.054037,15642.42113,9089.666786,10285.63741,2055.87034,7463.835324
,,,,,,,,196,3113.793853,287.0606486,2329.898344,1623.715058,15887.11839,8882.424646,10013.39443,1972.001506,7756.658392
,,,,,,,,197,3214.604915,298.4920339,2405.405316,1704.862274,16712.28991,8933.933993,10074.84825,1967.334134,8348.081138
,,,,,,,,198,3357.914274,316.6354912,2605.630963,1853.07697,18229.26182,9509.325745,10452.9009,2066.532188,9088.95123
,,,,,,,,199,3503.200688,347.2691426,2850.902851,2028.722965,19988.12284,10684.46912,11198.49047,2252.374642,9579.817451
,,,,,,,,200,3461.576915,361.0453251,2920.602201,2098.362808,21003.84677,11929.94845,11621.70941,2346.354322,9375.800016
,,,,,,,,201,3201.876944,344.5652259,2842.08066,2107.432372,20945.37064,13197.55891,11003.0697,2308.824499,8931.350905
,,,,,,,,202,3016.624008,329.0158851,2681.716827,2024.236168,20823.05104,12603.90727,10455.13451,1787.945161,8300.910033
,,,,,,,,203,2870.443329,316.4268609,2575.931258,1936.110917,20476.57476,11961.36195,9971.529139,1466.937797,7680.834538
,,,,,,,,204,2775.401557,311.1389003,2487.885571,1902.092386,20323.82604,12125.23001,9380.206637,1257.509895,7588.357528
,,,,,,,,205,2753.244325,305.5954373,2523.474612,1823.730249,20285.31588,11911.06127,9281.326082,1177.304297,6452.213085
,,,,,,,,206,2815.049262,312.8161204,2504.598607,1940.496799,20065.37536,12099.02441,9531.807214,1272.122714,6342.968246
