Time_Index,Central_Solar,IID_Solar,LADWP_Solar,NCNC_Solar,North_Solar,PGE_Solar,SCE_Solar,SDGE_Solar,South_Solar,Central_Wind,LADWP_Wind,NCNC_Wind,North_Wind,PGE_Wind,SCE_Wind,SDGE_Wind,South_Wind,LADWP_Hydro,NCNC_Hydro,North_Hydro,PGE_Hydro,SCE_Hydro,South_Hydro,Central_Solar_Invest,IID_Solar_Invest,LADWP_Solar_Invest,NCNC_Solar_Invest,North_Solar_Invest,PGE_Solar_Invest,SCE_Solar_Invest,SDGE_Solar_Invest,South_Solar_Invest,Central_Wind_Invest,LADWP_Wind_Invest,NCNC_Wind_Invest,North_Wind_Invest,PGE_Wind_Invest,SCE_Wind_Invest,SDGE_Wind_Invest,South_Wind_Invest,Central_Solar_LowerQuality_Invest,IID_Solar_LowerQuality_Invest,LADWP_Solar_LowerQuality_Invest,NCNC_Solar_LowerQuality_Invest,North_Solar_LowerQuality_Invest,PGE_Solar_LowerQuality_Invest,SCE_Solar_LowerQuality_Invest,SDGE_Solar_LowerQuality_Invest,South_Solar_LowerQuality_Invest,Central_Wind_LowerQuality_Invest,LADWP_Wind_LowerQuality_Invest,NCNC_Wind_LowerQuality_Invest,North_Wind_LowerQuality_Invest,PGE_Wind_LowerQuality_Invest,SCE_Wind_LowerQuality_Invest,SDGE_Wind_LowerQuality_Invest,South_Wind_LowerQuality_Invest
21,0,0,0,0,0,0,0,0,0,0.660001074,0.63609619,0.33559747,0.620001141,0.11319905,0.613151753,0.550043795,0.490000974,0.570212943,0.789574467,0.949574493,1,0.926151181,0.710272813,0,0,0,0,0,0,0,0,0,0.660001074,0.63609619,0.33559747,0.620001141,0.11319905,0.613151753,0.550043795,0.490000974,0,0,0,0,0,0,0,0,0,0.495000806,0.477072143,0.251698103,0.465000856,0.084899288,0.459863815,0.412532846,0.367500731
22,0,0,0,0,0,0,0,0,0,0.650001007,0.670917619,0.298386437,0.670001082,0.127264467,0.70553096,0.61015805,0.390000974,0.474808732,0.645037786,0.904266518,1,0.900261992,0.557451741,0,0,0,0,0,0,0,0,0,0.650001007,0.670917619,0.298386437,0.670001082,0.127264467,0.70553096,0.61015805,0.390000974,0,0,0,0,0,0,0,0,0,0.487500755,0.503188214,0.223789828,0.502500812,0.09544835,0.52914822,0.457618538,0.292500731
23,0,0,0,0,0,0,0,0,0,0.640001007,0.631036667,0.265826783,0.71000097,0.128036089,0.612352905,0.516800935,0.330001106,0.370429264,0.409787385,0.857907532,0.79469,0.840456002,0.459144903,0,0,0,0,0,0,0,0,0,0.640001007,0.631036667,0.265826783,0.71000097,0.128036089,0.612352905,0.516800935,0.330001106,0,0,0,0,0,0,0,0,0,0.480000755,0.4732775,0.199370087,0.532500728,0.096027067,0.459264679,0.387600701,0.24750083
24,0,0,0,0,0,0,0,0,0,0.640001007,0.637012857,0.276524024,0.7900012,0.155537185,0.629778977,0.526815286,0.320000961,0.291705102,0.251527315,0.82354858,0.55135,0.592727869,0.395948267,0,0,0,0,0,0,0,0,0,0.640001007,0.637012857,0.276524024,0.7900012,0.155537185,0.629778977,0.526815286,0.320000961,0,0,0,0,0,0,0,0,0,0.480000755,0.477759643,0.207393018,0.5925009,0.116652889,0.472334233,0.395111465,0.240000721
25,0,0,0,0,0,0,0,0,0,0.630001007,0.66287,0.295826783,0.840000985,0.175134718,0.719764243,0.610186676,0.350000974,0.218219129,0.183513887,0.829955222,0.29168,0.357808028,0.420194517,0,0,0,0,0,0,0,0,0,0.630001007,0.66287,0.295826783,0.840000985,0.175134718,0.719764243,0.610186676,0.350000974,0,0,0,0,0,0,0,0,0,0.472500755,0.4971525,0.221870087,0.630000739,0.131351039,0.539823182,0.457640007,0.262500731
26,0,0,0,0,0,0,0,0,0,0.620001007,0.625977143,0.330478162,0.860000935,0.197908734,0.655170638,0.556786727,0.390000974,0.194810841,0.069221613,0.817659227,0.21707,0.287598924,0.415025812,0,0,0,0,0,0,0,0,0,0.620001007,0.625977143,0.330478162,0.860000935,0.197908734,0.655170638,0.556786727,0.390000974,0,0,0,0,0,0,0,0,0,0.465000755,0.469482857,0.247858622,0.645000701,0.148431551,0.491377979,0.417590045,0.292500731
27,0,0,0,0,0,0,0,0,0,0.600001007,0.588048571,0.349083678,0.860000935,0.18908292,0.58668664,0.520058088,0.440000974,0.178248602,0.026351828,0.816341444,0.15654,0.228834839,0.420722849,0,0,0,0,0,0,0,0,0,0.600001007,0.588048571,0.349083678,0.860000935,0.18908292,0.58668664,0.520058088,0.440000974,0,0,0,0,0,0,0,0,0,0.450000755,0.441036428,0.261812759,0.645000701,0.14181219,0.44001498,0.390043566,0.330000731
28,0,0,0,0,0,0,0,0,0,0.570001007,0.54609619,0.348386437,0.850001025,0.168602226,0.50951327,0.480015235,0.460000974,0.178494317,0.017164983,0.817891024,0.12857,0.200829517,0.472209483,0,0,0,0,0,0,0,0,0,0.570001007,0.54609619,0.348386437,0.850001025,0.168602226,0.50951327,0.480015235,0.460000974,0,0,0,0,0,0,0,0,0,0.427500755,0.409572143,0.261289828,0.637500769,0.12645167,0.382134953,0.360011426,0.345000731
29,0,0,0,0,0,0,0,0,0,0.550001007,0.484262857,0.349083678,0.830001192,0.164095212,0.377524201,0.369943728,0.450001093,0.194307275,0.056876902,0.843790071,0.12806,0.20031037,0.592915969,0,0,0,0,0,0,0,0,0,0.550001007,0.484262857,0.349083678,0.830001192,0.164095212,0.377524201,0.369943728,0.450001093,0,0,0,0,0,0,0,0,0,0.412500755,0.363197143,0.261812759,0.622500894,0.123071409,0.283143151,0.277457796,0.33750082
30,0,0,0,0,0,0,0,0,0,0.530001007,0.425417619,0.344432299,0.7900012,0.154497719,0.270713559,0.263215251,0.430001106,0.252188056,0.252941851,0.889768267,0.16265,0.234872758,0.784504983,0,0,0,0,0,0,0,0,0,0.530001007,0.425417619,0.344432299,0.7900012,0.154497719,0.270713559,0.263215251,0.430001106,0,0,0,0,0,0,0,0,0,0.397500755,0.319063214,0.258324224,0.5925009,0.115873289,0.203035169,0.197411438,0.32250083
